Updated at 19:42:44,Price Close,,,,,,,,,,,,
,SPY,IWM,VEA,VWO,IEF.O,LQD,HYG,TIP,VNQ,PSP,WOOD.O,IGF.O,
3/7/2016,200.59,108.8892,35.34,33.34,108.9,114.93,80.97,112.12,80.08,50,43.94,37.34,
3/8/2016,198.40,106.26,34.95,32.76,109.53,115.54,80.4,112.55,79.26,49.25,43.32,37.08,
3/9/2016,199.38,106.8,35.1,32.97,109.1,115.41,80.6,112.48,79.7,49.1,43.45,37.31,
3/10/2016,199.54,105.93,35.07,32.89,108.71,115.89,81.16,112.09,79.41,49.05,43.63,37.41,
3/11/2016,202.76,108.2008,35.98,33.61,108.4,116.22,82.14,112.05,81.19,50.1,44.76,38.1,
3/14/2016,202.50,107.92,35.9,33.42,108.48,116.56,81.91,111.92,81.2,50.4,44.93,38,
3/15/2016,202.17,106.24,35.38,32.8,108.46,116.52,81.15,111.7,81.24,49.95,44.67,37.75,
3/16/2016,203.34,106.99,35.75,33.49,109.03,117.08,81.69,112.89,82.22,50.7,45.58,38.26,
3/17/2016,204.63,108.63,36.08,34.17,109.15,117.44,82.21,113.14,83.38,51.35,46.36,38.79,
3/18/2016,204.38,109.61,36.02,34.4,109.34,117.71,82.4,113.52,83.02,51.05,46.32,38.64,
3/21/2016,204.67,109.35,35.95,34.54,109.03,117.57,82.31,113.55,81.36,51.25,46.83,38.53,
3/22/2016,204.56,109.22,35.91,34.39,108.8,117.35,82.09,113.26,81.36,51.3,47.08,38.46,
3/23/2016,203.21,106.88,35.52,33.86,109.3,117.94,81.71,113.38,80.92,50.3,46.16,38.11,
3/24/2016,203.12,107.2,35.29,33.81,109.19,117.89,81.35,113.12,80.95,50.1,46.08,38.31,
3/28/2016,203.24,107.33,35.51,33.9,109.35,117.96,80.98,113.26,81.68,50.3,46.38,38.19,
3/29/2016,205.12,110.31,35.93,34.23,110.09,118.49,81.29,114.45,83.45,51,47.29,38.77,
3/30/2016,206.02,110.32,36.2,34.62,109.94,118.35,81.58,114.52,83.29,51.5,47.3,39.04,
3/31/2016,205.52,110.63,35.88,34.58,110.34,118.82,81.69,114.64,83.8,51.55,46.84,39.09,
4/1/2016,206.92,111.12,35.48,34.68,110.14,118.87,81.37,114.73,83.69,51.75,46.58,38.86,
4/4/2016,206.25,110.19,35.4,34.21,110.27,118.88,81.17,114.87,83.57,51.3685,46.3,38.62,
4/5/2016,204.19,108.94,34.74,33.57,110.71,119.26,80.87,114.99,83.02,50.4,45.13,37.97,
4/6/2016,206.42,110.17,35.3,34,110.47,119.16,81.55,114.69,83.22,50.9,45.22,38.43,
4/7/2016,203.95,108.68,34.8,33.29,111.04,119.48,81.15,115.09,82.7,50,44.67,38.11,
4/8/2016,204.50,109.11,35.46,33.87,110.87,119.21,81.52,114.86,83.16,50.35,45.14,38.73,
4/11/2016,204.02,108.77,35.49,34.32,110.85,119.2,81.63,114.57,82.99,50.5,45.52,38.8601,
4/12/2016,205.92,109.94,36.03,34.85,110.41,118.73,82.11,114.09,83.59,51.3,46.1,39.34,
4/13/2016,208.00,112.31,36.6,35.5,110.49,119.14,82.65,114.19,83.22,52.15,46.63,39.5,
4/14/2016,208.01,112.17,36.64,35.32,110.23,119.06,82.62,113.92,82.76,52,46.68,39.35,
4/15/2016,207.78,112.45,36.54,35.11,110.56,119.56,82.49,114.33,83.38,51.975,46.86,39.27,
4/18/2016,209.24,113.3,36.87,35.23,110.45,119.69,82.96,114.31,83.78,52.35,47.181,39.58,
4/19/2016,209.90,113.39,37.51,35.77,110.27,119.91,83.31,114.51,83.82,53.1,47.61,39.96,
4/20/2016,210.10,113.56,37.52,35.54,109.71,119.58,83.47,114.03,82.4,52.95,47.15,39.68,
4/21/2016,208.97,112.99,37.3,35.15,109.53,119.53,83.21,113.89,80.93,52.5,46.9914,39.23,
4/22/2016,208.97,114.11,37.27,35.02,109.41,119.66,83.4,113.82,81.77,52.75,47.28,39.33,
4/25/2016,208.61,113.3,37.11,34.74,109.29,119.38,83.08,113.69,82.49,52.55,46.6812,39.24,
4/26/2016,208.92,114.41,37.25,35.15,109.06,119.33,83.36,113.64,82.81,52.85,47.9633,39.5,
4/27/2016,209.35,114.81,37.31,35.36,109.66,120.09,83.85,114.33,82.76,52.95,48.3193,39.89,
4/28/2016,207.45,113.5,36.83,35,110.04,120.2,83.71,114.93,82.59,52.1,47.71,39.86,
4/29/2016,206.33,112.48,36.71,34.93,110,120.33,83.85,114.88,81.83,51.95,47.74,39.97,
5/2/2016,207.97,113.48,37.02,34.84,109.52,119.85,83.5,114.5,83.1,52.25,47.8999,40.2201,
5/3/2016,206.16,111.62,36.4,33.87,110.17,120.06,82.96,114.55,83.23,51.35,46.7273,39.85,
5/4/2016,205.01,110.7,35.96,33.39,110.37,119.86,82.65,114.68,84.42,51.225,46.34,39.75,
5/5/2016,204.97,110.26,35.93,33.39,110.67,120.1,82.58,115.05,84.66,51.15,46.61,39.76,
5/6/2016,205.72,110.91,36.01,33.47,110.41,119.84,82.53,114.65,85.59,51.1995,47.04,39.61,
5/9/2016,205.89,111.23,35.89,32.96,110.62,119.72,82.38,114.72,86.53,51.058,46.94,39.44,
5/10/2016,208.45,112.35,36.42,33.62,110.6,119.92,83.08,115.07,86.52,51.6,47.8264,39.86,
5/11/2016,206.50,110.96,36.16,33.52,110.77,120.05,83.02,115.05,84.67,51.45,47.81,39.78,
5/12/2016,206.56,110.3708,36.13,33.46,110.47,119.8,83.15,114.97,85.16,51.6,47.83,39.89,
5/13/2016,204.76,109.64,35.73,32.86,110.89,120.02,82.78,115.25,84.4,50.9,47.07,39.54,
5/16/2016,206.78,111.03,36.17,33.24,110.49,119.62,83.24,115.12,85.2,51.3,47.7201,39.95,
5/17/2016,204.85,109.27,35.96,33.1,110.34,119.58,83.07,115.2,83.62,51.25,47.09,39.81,
5/18/2016,204.91,109.84,35.93,32.84,109.45,118.56,83.08,114.2,82.31,51.4,46.68,39.36,
5/19/2016,204.20,108.955,35.69,32.44,109.56,118.84,82.85,114.15,81.39,51.1,46.17,39.26,
5/20/2016,205.49,110.79,36.02,32.8,109.63,118.92,83.14,114.09,82.04,51.3,46.86,39.5,
5/23/2016,205.21,110.66,35.9,32.73,109.7,118.92,83.16,114.15,82.05,51.45,46.93,39.25,
5/24/2016,207.87,112.94,36.34,33.12,109.52,118.72,83.66,114.04,83.07,52.2,47.534,39.53,
5/25/2016,209.28,113.6,36.7,33.5,109.47,118.93,83.79,114.13,83.07,52.65,48.26,39.67,
5/26/2016,209.34,113.47,36.78,33.72,109.81,119.27,83.55,114.46,83.23,52.7,48.32,39.78,
5/27/2016,210.24,114.6,36.73,33.71,109.6,119.18,83.69,114.31,83.68,52.8,48.36,39.8,
5/31/2016,209.84,115,36.6,33.8,109.73,119.39,83.61,114.14,83.67,52.7,48.61,39.82,
6/1/2016,210.27,115.78,36.58,33.77,109.53,119.14,83.34,113.93,83.74,52.75,48.42,39.82,
6/2/2016,210.91,116.67,36.59,34.04,109.87,119.38,83.36,114.32,84.17,52.75,48.6699,39.77,
6/3/2016,210.28,115.97,36.88,34.57,110.89,120.34,83.51,115.06,84.51,53,48.552,40.31,
6/6/2016,211.35,117.22,37.13,34.86,110.6,120.05,83.88,115.19,83.86,53.35,48.72,40.53,
6/7/2016,211.68,117.56,37.41,35.2,110.76,120.23,84.25,115.5,84.37,53.45,48.98,40.76,
6/8/2016,212.37,118.43,37.53,35.49,110.89,120.63,84.57,115.77,84.91,53.55,49.0702,40.85,
6/9/2016,212.08,117.67,37.06,35.09,111.06,120.8,84.24,115.81,85.1,53.35,48.38,40.85,
6/10/2016,210.07,116.07,36.06,34.2,111.45,120.94,83.83,115.81,84.7,52.2,47.58,40.05,
6/13/2016,208.45,114.81,35.54,33.77,111.67,120.76,83.27,115.66,84.72,51.55,46.48,39.75,
6/14/2016,208.04,114.48,34.56,33.45,111.64,120.49,82.99,115.37,84.5,50.75,45.75,39.53,
6/15/2016,207.75,114.56,34.79,33.76,111.98,120.94,83.03,115.91,85.3,50.9,45.68,39.53,
6/16/2016,208.37,114.55,34.8,33.68,112.1,121.12,83.075,115.68,85.78,50.65,45.83,39.71,
6/17/2016,206.52,114.06,35.13,33.83,111.72,120.76,83.13,115.39,85.64,51.2,46.1,40.06,
6/20/2016,207.85,115.3,35.95,34.32,111.24,120.61,83.62,115.06,85.76,52.2,47.4,40.53,
6/21/2016,208.44,115.08,36.23,34.58,110.99,120.5,83.94,114.71,85.32,52.35,46.58,40.12,
6/22/2016,208.10,114.63,36.17,34.63,111.21,120.72,84.02,115.02,85.19,52.5,46.33,39.93,
6/23/2016,210.81,116.82,37.12,35.49,110.68,120.6,84.64,115.06,85.62,53.7,47.44,40.71,
6/24/2016,203.13,112.55,34.08,33.48,112.21,121.17,83.25,115.78,84.87,49.8,44.36,38.46,
6/27/2016,199.60,108.69,33.42,33.13,113.18,121.68,82.05,116.12,84.92,47.6,43.1,38.26,
6/28/2016,203.20,110.37,34.31,34.08,113.16,122.35,83.08,116.52,86.71,48.85,43.84,39.07,
6/29/2016,206.66,112.88,34.93,34.88,112.7,122.31,84.13,116.45,87.76,49.8,44.58,39.71,
6/30/2016,209.48,114.98,35.36,35.23,112.9523,122.735,84.7,116.67,88.67,50.35,45.25,40.46,
7/1/2016,209.92,115.39,35.44,35.49,113.09,123.05,84.47,117.06,88.7,50.725,46.09,40.49,
7/5/2016,208.41,113.69,34.74,34.79,113.71,123.47,83.99,117.25,89.68,49.1825,44.95,40.24,
7/6/2016,209.66,113.89,34.75,34.79,113.73,123.69,84.36,117.53,89.29,49.25,45.21,40.29,
7/7/2016,209.53,114.13,34.6,34.64,113.58,123.71,84.47,117.29,88.37,49.35,44.71,40.01,
7/8/2016,212.65,116.79,35.08,35.41,113.8,124.4,85.59,117.55,89.8,49.8,45.5388,40.45,
7/11/2016,213.40,118.14,35.56,35.7,113.2,124.08,85.64,116.98,90.4,50.5,46.22,40.6972,
7/12/2016,214.95,119.72,36.06,36.25,112.53,123.38,85.88,116.59,90.39,51.25,46.625,40.85,
7/13/2016,214.92,119.25,36.03,36.19,112.82,123.86,85.63,116.84,90.89,51.25,46.6564,40.86,
7/14/2016,216.12,119.37,36.34,36.69,112.35,123.56,85.8,116.54,90.08,51.722,46.99,40.98,
7/15/2016,215.83,119.7,36.16,36.56,111.92,123.09,85.63,116.41,90.11,51.55,47.34,40.92,
7/18/2016,216.41,119.9,36.24,36.88,111.89,123.09,85.92,116.33,90.35,51.9,47.58,41.08,
7/19/2016,216.19,119.3,35.95,36.56,112.19,123.31,85.69,116.34,90.79,51.75,47.64,41,
7/20/2016,217.09,120.08,36.21,36.75,111.96,123.27,85.91,116.13,90.8,52.269,47.94,41.15,
7/21/2016,216.27,119.51,36.12,36.65,112.21,123.41,85.79,116.18,90.98,52.25,47.9156,41.11,
7/22/2016,217.24,120.4,36.14,36.89,112.12,123.34,86.17,116.08,91.78,52.472,48.3399,41.22,
7/25/2016,216.65,120.22,36.08,36.59,112.03,123.27,85.76,115.83,91.61,52.7,48.209,41.09,
7/26/2016,216.75,120.8,36.25,36.81,112.1,123.15,85.43,116.03,91.16,52.825,48.62,41.06,
7/27/2016,216.52,121.14,36.41,36.86,112.58,123.66,85.69,116.48,90.45,53.1,48.4568,40.85,
7/28/2016,216.77,120.83,36.41,36.84,112.64,123.54,85.33,116.64,91.29,53,48.5,41.04,
7/29/2016,217.12,121.07,36.83,37.04,113.07,123.99,85.41,116.9,92.45,53.35,48.6609,41.5201,
8/1/2016,216.94,121.17,36.62,36.9,112.52,122.97,84.55,115.75,92.65,52.9,48.3373,41.115,
8/2/2016,215.55,119.48,36.44,36.7,112.25,122.28,84.43,115.18,91.17,52.65,47.93,41.12,
8/3/2016,216.18,120.45,36.3,36.9,112.31,122.44,84.81,115.51,90.64,52.85,47.88,41.105,
8/4/2016,216.41,120.56,36.51,37.08,112.58,122.96,85.35,115.99,90.27,53.2,48.136,41.24,
