Date,Price Close
01/09/2015,31.4
02/09/2015,26.09
03/09/2015,25.61
04/09/2015,27.8
04/09/2015,27.8
08/09/2015,24.9
09/09/2015,26.23
10/09/2015,24.37
11/09/2015,23.2
14/09/2015,24.25
15/09/2015,22.54
16/09/2015,21.35
17/09/2015,21.14
18/09/2015,22.28
21/09/2015,20.14
22/09/2015,22.44
23/09/2015,22.13
24/09/2015,23.47
25/09/2015,23.62
28/09/2015,27.63
29/09/2015,26.83
30/09/2015,24.5
01/10/2015,22.55
02/10/2015,20.94
05/10/2015,19.54
06/10/2015,19.4
07/10/2015,18.4
08/10/2015,17.42
09/10/2015,17.08
12/10/2015,16.17
13/10/2015,17.67
14/10/2015,18.03
15/10/2015,16.05
16/10/2015,15.05
19/10/2015,14.98
20/10/2015,15.75
21/10/2015,16.7
22/10/2015,14.45
23/10/2015,14.46
26/10/2015,15.29
27/10/2015,15.43
28/10/2015,14.33
29/10/2015,14.61
30/10/2015,15.07
02/11/2015,14.15
03/11/2015,14.54
04/11/2015,15.51
05/11/2015,15.05
06/11/2015,14.33
09/11/2015,16.52
10/11/2015,15.29
11/11/2015,16.06
12/11/2015,18.37
13/11/2015,20.08
16/11/2015,18.16
17/11/2015,18.84
18/11/2015,16.85
19/11/2015,16.99
20/11/2015,15.47
23/11/2015,15.62
24/11/2015,15.93
25/11/2015,15.19
25/11/2015,15.19
27/11/2015,15.12
30/11/2015,16.13
01/12/2015,14.67
02/12/2015,15.91
03/12/2015,18.11
04/12/2015,14.81
07/12/2015,15.84
08/12/2015,17.6
09/12/2015,19.61
10/12/2015,19.34
11/12/2015,24.39
14/12/2015,22.73
15/12/2015,20.95
16/12/2015,17.86
17/12/2015,18.94
18/12/2015,20.7
21/12/2015,18.7
22/12/2015,16.6
23/12/2015,15.57
24/12/2015,15.74
24/12/2015,15.74
28/12/2015,16.91
29/12/2015,16.08
30/12/2015,17.29
31/12/2015,18.21
31/12/2015,18.21
04/01/2016,20.7
05/01/2016,19.34
06/01/2016,20.59
07/01/2016,24.99
08/01/2016,27.01
11/01/2016,24.3
12/01/2016,22.47
13/01/2016,25.22
14/01/2016,23.95
15/01/2016,27.02
15/01/2016,27.02
19/01/2016,26.05
20/01/2016,27.59
21/01/2016,26.69
22/01/2016,22.34
25/01/2016,24.15
26/01/2016,22.5
27/01/2016,23.11
28/01/2016,22.42
29/01/2016,20.2
01/02/2016,19.98
02/02/2016,21.98
03/02/2016,21.65
04/02/2016,21.84
05/02/2016,23.38
08/02/2016,26
09/02/2016,26.54
10/02/2016,26.29
